Compound_Id	Well_Id	Induction	Conc_uM	Similarity	Known_Act	Trivial_Name	Smiles
409915	409915:01:02_10.00	63.7	10.0	95.9	it is an inhibitor of bromodomain BRD9 (Kd = 33 nM; EC50 = 320 nM in a NanoBRET assay). It has >30-fold selectivity over all other bromodomain family members with the exception of the highly homologous BRD7 bromodomain (Kd = 340 nM in an isothermal titration calorimetry (ITC) assay). See the Structural Genomic Consortium (SGC) website for more information.	TP-472	CC(=O)c1cc(-c2cc(C(=O)NC3CC3)ccc2C)c2ncccn12
246898	246898:01:04_30.00	57.2	30.0	95.7	anthelmintic.	Oxfendazole	COC(=O)Nc1nc2cc(S(=O)c3ccccc3)ccc2[nH]1
280735	280735:01:07_03.00	67.7	3.0	95.4	inhibitor of angiogenesis and endothelial cell proliferation.	2-methoxyestradiol	COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
246994	246994:01:07_01.00	65.8	1.0	95.1	anthelmintic.	Albendazole	CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1
392447	392447:01:02_02.00	69.6	2.0	95.0	inhibitor of Vascular endothelial growth factor receptor 2 (IC50 = 0.0054 µM), inhibitor of Tyrosine-protein kinase TIE-2 (IC50 = 0.058 µM); Discovery of Novel Benzimidazoles as Potent Inhibitors of TIE-2 and VEGFR-2 Tyrosine Kinase Receptors.    J Med Chem (2007),  50(18),  4453-4470.		COC(=O)Nc1nc2cc(Oc3ccc(NC(=O)Nc4cccc(SC)c4)cc3)ccc2[nH]1
280418	280418:01:03_30.00	61.1	30.0	94.9	A1 adenosine receptor antagonist.	7-Chloro-4-hydroxy-2-phenyl-1,8-naphthyridine	Oc1cc(-c2ccccc2)nc2nc(Cl)ccc12
410973	410973:01:03_02.00	73.4	2.0	94.7	TyK2-IN-2 is an inhibitor of TYK2, used for treatment of inflammatory and autoimmune diseases.	TyK2-IN-2	CNc1cc(Nc2cc(C)cc(C)c2)nn2c(C(N)=O)cnc12
245354	245354:03:11_00.10	61.3	0.1	94.0	disrupts microtubules by binding to beta-tubulin, Microtubule poison.	Nocodazole, R 17934	COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1
245354	245354:03:12_00.10	58.2	0.1	93.9	disrupts microtubules by binding to beta-tubulin, Microtubule poison.	Nocodazole, R 17934	COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1
409809	409809:01:02_10.00	70.3	10.0	93.8	it is a dual inhibitor of AAK1 and BMP2K/BIKE. AAK1 is a serine/threonine kinase with broad tissue expression. AAK1 is involved in clathrin-mediated endocytosis, both by direct binding to clathrin and by phosphorylation of the medium subunit of AP-2 (adaptor protein 2). AAK1 has been identified as a negative regulator of Wnt signaling via mediation of LRP6 internalization. BIKE is broadly expressed, and it localizes to nuclear speckles. BIKE was originally identified as its expression was observed to increase upon bone morphogenic protein (BMP-2)-induced differentiation of a prechondroblastic cell line. The same study provided evidence for BIKE having an important regulatory role in attenuating the program of osteoblast differentiation.		CCN(CC)S(=O)(=O)Nc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1
246980	246980:07:08_30.00	36.6	30.0	93.7	Griseofulvin is an antifungal agent derived from the mold Penicillium griseofulvum that is used to treat fungal infections of the skin and nails. Griseofulvin binds to tubulin, disrupting microtubule function and inhibiting mitosis.	Griseofulvin	COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
